,User,CREATED_AT,LABEL,stemming_words
201,1.42E+18,7/26/2021 7:50,Sport,ඔලිම්පික් ක්රීඩා උළෙලක සුදුසුකම් ලැබූ පළමු ශ්රී ලාංකේය ජිම්නාස්ටික් ක්රීඩිකාව මිල්කා ගෙහානි ඇයගේ දක්ෂතා විනය ක්රීඩාව කෙරෙහි දක්වන කැපවී ආදී වූ සාධක මතින් ටෝකියෝ ජිම්නාස්ටික් තරඟබිමේදි මව්රටට ගෞරවයක් ගෙනදෙමින් ක්රීඩා කළා
203,1.42E+18,7/26/2021 7:05,Sport,නිලූකගෙ පරණ එකක් දිග වෙන්නෙ කියලා බැලුවා බලද්දි චාමිකගෙ ලා ඇවිත දාන් අරං ක්රීඩා වලින් මොන තිබුණත් වැඩක් ක්රිකට්ම ගහන්න ඕන ජනප්රිය වෙන්න නං
205,1.42E+18,7/26/2021 6:25,Sport,ඔලිම්පික් අද තරග ඉසව් ටෝකියෝ ඔලිම්පික් ක්රීඩා උළලේ තුන්වන දිනය අදයි විස්තර
207,1.42E+18,7/25/2021 17:47,Sport,ඔලිම්පික් උළෙල නියෝජන කරන රිද්මයානූකූල ජිම්නාස්ටික් ක්රීඩා ඉසව් ඉදිරිපත් වූ ශ්රීලාංකික කන්ඩායම නායිකා මිල්කා සිල්වා අද සහභාගි වූ මූලික වටයේදී පලමු තරඟයේ ස්ථානය ලබා ගනිමින් තරඟ අවසන් කර තිබේ ඇයට තරඟ වට ඉතිරිව තිබෙනව සිය දක්ෂතා පෙන්වීම
209,1.42E+18,7/25/2021 16:23,Sport,ක්රීඩා කරන කෙනෙක් ඇමති උනා කිව්වතරුණයෙක් ක්රීඩා ඇමති උනා කිව්ව ලැජ්ජ වෙන්න ඕනෙ
211,1.42E+18,7/25/2021 15:40,Sport,නිවස් වලට පැය බාගෙම කිව්වෙ මරණෙ ක්රීඩා පුවත්වලට ගියෙට් ක්රිකට් ටීම් එකේ සයිලන්ස්
213,1.42E+18,7/25/2021 14:07,Other,ළමයෝ ළමයෝ ආන්ටි ක්රීඩා ඇමතිආණ්ඩුව එක්ක තියන ඇරියස් එකක් කවර් කරන්නේ ආන්
215,1.42E+18,7/25/2021 11:59,Sport,දේශපාලනය පෙරලුණාට ක්රීඩාව පෙරලන්න බැහැ ඕස්ට්රේලියා මලල ක්රීඩා කණ්
217,1.42E+18,7/25/2021 11:57,Other,අපි ඉස්කෝලේ ගිය කාලේ උදේ නැගිටලා සීසන් බස් එක අල්ලන්න බලං ඉන්න ආයේ හවස දූවලා ඇවිත බස් එකේ නැගල පැයක් විතර ගිහින් තමයි ගෙදර එන්නේ ඉතිං කොහොම බන් ක්රීඩා ප්රැක්ටිස් යන්නේ ඔය විදිහට තමයි ලංකාවේ ගොඩක් ස්කෝල ලමයි දවස ගෙවන්නේ
219,1.42E+18,7/25/2021 11:51,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ මිල්කා ගිහානී තැනට
221,1.42E+18,7/25/2021 10:48,Entertainment,යුරෝපය ඇමරිකාවේ වගේ උස මහත මිනිසුන් ඒත් චීනෙ ක්රීඩා වලින් අංක එකට එනවා
223,1.42E+18,7/25/2021 6:22,Sport,භානුක රාජපක්ෂ අද තරඟ ක්රීඩා කිරීම අවිනිශ්චිත තත්වය වාර්තා වනවා තවම නිශ්චිතව සම්බන්ධව කිසිදු ලෙසකින් දන්වා නැත
225,1.42E+18,7/25/2021 6:10,Sport,සෞඛ්ය ක්රීඩා වල විවිධත්ව සමානාත්මතාව ප්රවර්ධන කිරීම ලෝක සෞඛ්ය සංවිධානය අවබෝධතා ගිවිසුමක් අත්සන කරයි
227,1.42E+18,7/25/2021 4:47,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ ප්රථම රන් පදක්කම චීනය
229,1.42E+18,7/25/2021 3:43,Other,තාත්තා පුරුදු වුනු ක්රීඩා ආදරේ
231,1.42E+18,7/24/2021 15:04,Sport,කාලෙට එදා ඉඳන් අපේ ගෙදර පුරුද්ද තමයි මොන ගේම් එක පෙන්නුවත් කවුරු බැලුවත් නොබැලුවත් එක ඔහේ එකේ තියෙනවා එන ගමන් කවුරුහරි බෙල්ල දික් කරලා එකක් හරි බලන් යනවා අඩුගානේ අම්මා එබිලා ලස්සන ගෑණු ළමයෙක් කියාගෙන හරි යනවා තාත්තා පුරුදු වුණු ක්රීඩා ආදරේ
233,1.42E+18,8/1/2021 16:59,Other,ප්රවීණ සිනමා නිළි ශ්රීයානි අමරසේන කොරෝනා රෝගය ගොදුරු ඇතැයි වාර්තාවේ ඇයගේ අසනීප තත්වය දැනුම්දී ඇත්තේ හිතවත් කලා ශිල්පී දයාන් විතාරණයි ඔහුගේ ෆේස් බුක් සටහන පහත පරිදිය සිනමා නිළි ශ්රීයානි අමරසේනට කොරෝනා
235,1.42E+18,7/30/2021 6:24,Entertainment,අපි සිනමා නිර්මාණය කියැවීම කියවන්න සම්පුර්ණ වචන ගොඩවන්න රචනය විමූ රත්නා
237,1.42E+18,7/27/2021 3:46,Entertainment,සුපිරිම ෆිල්ම් ගොඩක් ප්රිමියර් වැනිස් සිනමා උළෙල
239,1.42E+18,7/26/2021 15:32,Entertainment,ආර්ථිකය බිමට වට්ටපු හැටි කතාකරනකොට රනිලුත් ජේ ආරුත් වැඩක් චීනාගෙන් ගිනිපොළියට ණය අ
242,1.42E+18,8/1/2021 19:03,Politics,මං මුදල් නැති මුදල් ඇමති බැසිල්
246,1.42E+18,8/1/2021 14:54,Politics,ඇමති කියලා වවං කනවද හැමදාමත් පිනට තමයි කන්නේ බොන්න අඳින්නේ
248,1.42E+18,8/1/2021 14:36,Politics,ඇමති අරුන්දිකට දොස්තර වෙන්න බැරිවුනේ
252,1.42E+18,8/1/2021 11:09,Politics,ඇමති බන්දුල නූලෙන් බේරේ ගල්ලෙනක කළු ගලක හිස අසලින් බිමට වැටේ
254,1.42E+18,8/1/2021 9:31,Politics,හයියෝ අපරාදේ මිස් උනේ ලෝකෙ ලොකුම සේවයක් මිස් උනා ඇමති බන්දුල නූලෙන් බේරේ ගල්ලෙනක කළු ගලක හිස අසලින් බිමට වැටේ ජයගම
256,1.42E+18,8/1/2021 9:30,Politics,නවසීලන්ත කොමසාරිස් අධිකරණ ඇමති හමුවෙයි
258,1.42E+18,8/1/2021 9:22,Other,ගල් පැලෙන බොරු කියන බේරි ලූ
266,1.42E+18,8/1/2021 7:30,Politics,දේශපාලනයෙන් ඈත්වී සිටින හිටපු මුදල් ඇමති මංගල සමරවීර ඉරිදා අරුණ පුවත්පත පැවැත්වූ සම්මුඛසාකච්චාවකදී සමාජ මාධ්ය සම්බන්ධ තිබෙන අදහස් කිහිපයක් පහතින් මහරජ මංගලට රඟපාන්න හිතුණේ ටික් ටොක් වැඩක් වස්ති නිෂ්පාදනය එය තරුණ කණ්ඩාය
268,1.42E+18,8/1/2021 5:13,Crime,අපරාධ වාර්තා කොට්ඨාශ නිරීක්ෂණයට ගිය පලමු පොලිස් ඇමති
270,1.42E+18,8/1/2021 5:09,Crime,ඇමති පුතෙකු විදෙස් පෙම්වතිය බම්බලපිටියේදී ගෙල වැලලාගනී
272,1.42E+18,8/1/2021 4:05,Politics,ඇමති බැසිල් තානාපතිවරු හමුවක්
274,1.42E+18,8/1/2021 3:49,Politics,කියුබානු තානාපතිවරයා විදේශ ඇමති සාකච්ඡා
276,1.42E+18,8/1/2021 3:26,Politics,මම මෙවර සියලු මැති ඇමති දීමනා කපාහැර පාර්ලිමේන්තුවාර මුළු මුදලක් ජනාධිපති වැය ශීර්ෂයෙන් වූ මුදලක්ද සියල් ගුරු දිරි දීමනාව ඔවුන් කාලය තුල සිදුකරන ඉගැන්වීම ගෙවීමට බලාපොරොත්තු වේ මුදලින් නොමිලේ අන්තර්ජාල පහසුකම් ඔවුනට ලබාදෙමි
278,1.42E+18,8/1/2021 2:49,Politics,ජපාන නෙදර්ලන්ත මැලේසියා රටවල් තානාපතිවරු මුදල් ඇමති හමුවෙති
280,1.42E+18,8/1/2021 1:03,Politics,ඩන්කන් වයිට් ලෝක වාර්තව තිබ්බෙ තනියම ගිහින් කිසිම වාර්තව නොතියා අද මිනිස්සු යන්නෙ අසරන මිනිස්සු බඩගින්නෙ ඉන්න ලෝකෙ හතරවටේ ටම නයවෙලා ඉදගෙන බිලියන ගනනක් වියදම් කරමින් ඇමති ටයි නිලදරින්ටයි හෙන ගහන්න ඕන බන්ගලදෙශයටත් නයවෙලා
282,1.42E+18,7/31/2021 14:28,Politics,විදුලි බල අමාත්ය ඩලස් අලහප්පෙරු මහතාද කොළඹ සිය නිවෙසේ ස්වයං නිරෝධායනයට යොමුවී සිටී ඇමැතිවරයා කාර්ය මණ්ඩලයේ දෙදෙනෙකු කොවිඩ් ආසාදන වී තහවුරු වීමත් ඔහු නිරෝධනයට යොමු වී ඇත
284,1.42E+18,7/31/2021 9:09,Crime,හිටපු ඇමති පුතාගේ නේපාල ජාතික පෙම්වතිය වැල්ලවත්ත කාමරයේදී ගෙළ වැළලාගෙන
286,1.42E+18,7/31/2021 9:05,Crime,හිටපු ඇමති පුතෙකු විදෙස් පෙම්වතිය ගෙල වැලලාගනී
294,1.42E+18,7/31/2021 8:00,Other,අක්කේ අය මෙහෙම කරන්නේ මුන්ට කරන්න වැඩක් ඇත්තෙම නැද්ද අපිත් වෙලා කාලයක් හි
302,1.42E+18,7/31/2021 4:39,Politics,සඳුදා රට අරින තීරණය දුරට වෙනස් වෙන්න පුළුවන් රාජ්ය ඇමති සුදර්ශනී
304,1.42E+18,7/31/2021 3:27,Politics,මං සෞඛ්ය ඇමති කාලෙ වසංගත හයක් තුරන් කලා ආණ්ඩුවට කොරෝනා තුරන් කරගන්නවත් බෑ
306,1.42E+18,7/30/2021 23:44,Politics,කටාන සංවර්ධන සැලැස්මට සියල් සූදානම් මූලික බිම් පරික්ෂාවට ඇමති සුදර්ශිනී එක්වෙයි
308,1.42E+18,7/30/2021 23:22,Politics,අභිනව නවසීලන්ත කොමසාරිස් අධිකරණ ඇමති හමුවෙයි
316,1.42E+18,7/30/2021 16:31,Politics,ඇමති සරත්ගේ යටතේ තිබූ දෙපාර්තමේන්තු දෙකක් ජනපති යටතට පවරමින් අතිවිශේෂ ගැසට් පත්රයක
318,1.42E+18,7/30/2021 9:51,Politics,වැඩේ තියෙන්නේ ලංකා ඔය වසංගතේ ගෙනාපු ඩයල් එක ඇමති කෙනෙක්නෙ
320,1.42E+18,7/30/2021 7:18,Politics,හිටපු නියෝජ්ය ඇමති සරණ ගුණවර්ධන අල්ලස කොමිසම ගොනුකර තිබූ නඩු කින් නිදහස්
324,1.42E+18,7/30/2021 6:39,Politics,ඇමති අරුන්දිකට දොස්තර අරුන්දික වෙන්න බැරිවුනේ
326,1.42E+18,7/30/2021 6:34,Politics,හිටපු නියෝජ්ය ඇමති සරණ නඩු අටකින් නිදහස්
328,1.42E+18,7/30/2021 6:34,Crime,අල්ලස කොමිසම ගොනුකර තිබූ නඩු කින් හිටපු නියෝජ්ය අමාත්ය සරණ ගුණවර්ධන මහතා නිදහස් කරන කොළඹ මහෙස්ත්රාත් අධිකරණය නියම කළේය නඩු අද කොළඹ ප්රධාන මහෙස්ත්රාත් බුද්ධික සී රාගල මහතා ඉදිරියේ කැඳවනු ලැබීය
330,1.42E+18,7/30/2021 5:43,Crime,හිටපු නියෝජ්ය ඇමති සරණ ගුණවර්ධන නඩු කින් නිදහස් කෙරේ
332,1.42E+18,7/30/2021 5:22,Other,සංවර්ධන ලොතරැයි මණ්ඩලයේ සභාපති සිටියදී එහි වාහන අවභාවිත කළ අල්ලස කොමිසම පවරා තිබූ නඩු කින් හිටපු නියෝජ්ය ඇමති සරණ ගුණවර්ධන නිදහස් කෙරේ
334,1.42E+18,7/30/2021 5:22,Other,හිටපු නියෝජ්ය ඇමති සරණ අල්ලස නඩු කින් නිදහස්
338,1.42E+18,7/29/2021 18:12,Other,ඇමති තුමා හරි පොටෝ එක ගන්න පොටෝ කීයක් ගත්තාද
340,1.42E+18,7/29/2021 15:23,Other,එළදෙන හර ගාලේ ගාල්කරන්නේ නැතිව ඇමති කමක් දුන්නාම අහන්න වෙන්නේ මේව ගොන් කථා තමයි
342,1.42E+18,7/29/2021 14:22,Other,කඩිනමි තමාට හිමි එන්නත ලබාගන්න රාජ්ය ඇමති ඉල්ලයි වයස අවුරුදු පුද්ගලයින් එන්නත්කරණයට ලක්වීමේ වැදගත්කම සෞඛ්ය බලධාරී නැවත නැවත අවධාරණ කරති විස්තර
344,1.42E+18,7/29/2021 14:18,Other,ඔය ක්රිකටර්ස් ලා විනය විරෝධී ගමන් ගිහිං තරඟ තහනම් වෙලා දඩ කෑවා වගේ නෙවේ විනය විරෝධිව ජපානේ ගිය රාජ්ය ඇමතිලා ටිකට ජනාධිපති තුමා දඩ ගහල ඇමති කමෙනුත් එලොපුවම කට්ටි තේරෙයි රටේ හැමෝට තියෙන්නේ එකම නීතිය කියලා සර් එක්ක ලේසි වෙන්නේ නැහැ වල්කන්ට්රිවල්ලෝ
346,1.42E+18,7/29/2021 14:18,Politics,සංචාරක ක්ෂේත්ර ප්රවර්ධන සැලැස්ම සංචාරක ආකර්ෂණය ජලජ ගුවන ධාවන පථ පිහිටුවිය හැකි ස්ථාන හඳුනා ගෙන තිබෙන සංචාරක ඇමති ප්රසන්න රණතුංග මහතා පවසයි ජලජ ගුවන පථ ක්රියාත්මක බෙන්තොට ගඟ කැළණි ගඟ පොල්ගොල්ල
352,1.42E+18,7/29/2021 12:53,Politics,ගොවියා ඉල්ලීම ඇමති මහින්දානන්ද අමුතු පිළිතුරක්
354,1.42E+18,7/29/2021 12:25,Politics,ඇමති විමල් නිරෝධායනයට
360,1.42E+18,7/29/2021 10:27,Politics,ඇමති විමල් දින ස්වයං නිරෝධායනයට
362,1.42E+18,7/29/2021 9:32,Politics,ඇමති විමල් වීරවංශ ස්වයං නිරෝධායනයට
364,1.42E+18,7/29/2021 9:08,Politics,ඇමති විමල් වීරවංශ නිරෝධානයට
366,1.42E+18,7/29/2021 8:59,Politics,ඇමති විමල් දින ස්වයං නිරෝධායනයට කර්මාන්ත අමාත්ය විමල් වීරවංශ මහතා දින කාලයක් ස්වයං නිරෝධායනය යොමුව තිබේ විස්තර
368,1.42E+18,7/29/2021 8:21,Politics,ඇමති විමල් නිරෝධායනයට ලක් කරයි
374,1.42E+18,7/29/2021 7:51,Politics,ඇමති විමල් නිරෝධායනයට යොමු වෙයි
376,1.42E+18,7/29/2021 6:13,Politics,කොතලාවල විශ්වවිද්යාල පනත විවාදයට ගන්න කලින් ඇමති චමල් මන්ත්රීවරු හමුවෙන් සූදානමි
378,1.42E+18,7/29/2021 5:55,Politics,කොතලාවල පනතේ විවාදයට පෙර මන්ත්රීවරුන්ට ඇමති චමල්ගේ ප්රධානත්වය සාකච්ඡාවක් විස්තර
380,1.42E+18,7/29/2021 5:54,Politics,කොතලාවල පනතේ විවාදයට පෙර මන්ත්රීවරුන්ට ඇමති චමල්ගේ ප්රධානත්වය සාකච්ඡාවක්
382,1.42E+18,7/29/2021 5:17,Other,පරයාට ඇමති ධූර ලබා විල්පත්තුවත් නින්දගමක් බාර මූව ඔසොවා තැබීමට අබ මල් රේණුවක් ත
384,1.42E+18,7/29/2021 4:58,Other,ඩන්කන් වයිට් ලෝක වාර්තව තිබ්බෙ තනියම ගිහින් කිසිම වාර්තව නොතියා අද මිනිස්සු යන්නෙ අසරන මිනිස්සු බඩගින්නෙ ඉන්න ලෝකෙ හතරවටේ ටම නයවෙලා ඉදගෙන බිලියන ගනනක් වියදම් කරමින් ඇමති ටයි නිලදරින්ටයි හෙන ගහන්න ඕන බන්ගලදෙශයටත් නයවෙලා රට චීනය උගස්තියලා
386,1.42E+18,7/29/2021 4:12,Politics,ඇමති තෙහෙළිය කියන්නේ බොරු ඇමති රොෂා කියයි
388,1.42E+18,7/28/2021 15:57,Politics,පොලිස් ඇමති සරත් වීරසේකර මහතාට සජබපාමන්ත්රී හරී මහතාගෙ විවෘත ආරාධනය
394,1.42E+18,7/28/2021 14:34,Politics,සුව සැරි ගිලන් රථ සේවාව හිටපු ඇමති හර්ෂ සිල්වා අදහස් දක්වයි
396,1.42E+18,7/28/2021 13:11,Politics,ජාතික අවශ්යතා සලකා දරුවන්ගේ අධ්යාපනය ඉඩ වෙන් කරන්න ඇමති කෙහෙළිය මාධ්යයෙන් ඉල්ලයි
398,1.42E+18,7/28/2021 11:53,Other,ඔලිම්පික් තරගාවලියට ක්රීඩකයො යි ඇමතිවරු යි ඉඩම් ඇමති ඔලිම්පික් ගියේ මොකට
400,1.42E+18,7/28/2021 9:14,Politics,බැසිල් ලංකා බේරගන්න විදිය සරල බයි එක ලංකා බයි එක පිටිපස්සෙ අල්ලන්නෙ හිටපු මුදල් ඇමති බයි ඉස්සරහින් අල්ලන්නෙ අලුත මුදල් ඇමති බැසිල්
402,1.42E+18,7/28/2021 6:54,Other,ඔය දුප්පත් මිනිස්සුන් ඕව බැනලා වැඩක් ඔය මිනිස්සුන් ඕවා තේරුමකුත් මිනිස්සු අසරණයි ඔය මිනිස්සු කොහොම හිටපු ඇමති කෙනෙක් එක්ක හැප්පෙන්නෙ
404,1.42E+18,7/28/2021 5:51,Politics,මැද පෙරදිග ආසියානු රටවල රාජ්ය තාන්ත්රික පිරිසක් මුදල් ඇමති හමුවෙයි
406,1.42E+18,7/28/2021 5:18,Politics,මැද පෙරදිග ආසියානු රටවල රාජ්ය තාන්ත්රික පිරිසක් මුදල් ඇමති හමුවෙයි විස්තර
408,1.42E+18,7/28/2021 4:34,Politics,මහකොමසාරිස්වරු තානාපතිවරු කිහිපදෙනෙක් මුදල් ඇමති හමුවෙයි
410,1.42E+18,7/28/2021 4:06,Politics,මැදපෙරදිග ආසියා රටවල රාජ්ය තාන්ත්රිකයින් රැසක් මුදල් ඇමති හමුවෙයි
412,1.42E+18,7/28/2021 3:22,Politics,ගුරුවරු දෙලක්ෂ පනස්දාහකට ස්මාට්ෆෝන් අරන්දෙන්න පුළුවන්කම නෑනේ අධ්යාපන රාජ්ය ඇමති
414,1.42E+18,7/28/2021 3:20,Politics,වයස අවුරුදු අඩු අය සේවයේ යෙදවීම සම්පුර්ණ තහනම් කරනවා කම්කරු ඇමති
416,1.42E+18,7/28/2021 2:47,Other,මීට කලින් අම්පාරෙ ගොවියෙකු මැණික හම්බවුණා කිලෝ පනහක් විතර අද මනුස්සයා හිගා කනවා ඇමති
418,1.42E+18,7/28/2021 2:16,Politics,මුදල් ඇමති මැද පෙරදිග ආසියානු රටවල රාජ්යතාන්ත්රිකයින් හමුවෙයි මැද පෙරදිග ආසියානු රටවල රාජ්යතාන්ත්රිකයින් රැසක් මුදල් අමාත්ය බැසිල් රාජපක්ෂ මහතා හමුවී තිබේ විස්තර
420,1.42E+18,7/28/2021 1:42,Other,මං හිතන්නෙ බඩුඩීන් කියන්නෙ හිටපු ඇමති කෙනෙක් පොලිසිය ගනන් ගන්නැති වෙයි නැත්තන් උගෙ පවුලෙ එවු කරදර කරයි කියලා වෙන්නැති අම්මා ඒක කියන්නැතුව ඉන්න ඇත්තෙ අනික ණයක් හිලව් කරන්නනෙ වැඩකාරකමට අරන් ගිහිං තියෙන්න ණය දුන්න එකාත් කරදර කරනවනෙ ඕවා කියන්න ගියොත්
422,1.42E+18,7/28/2021 1:26,Other,ඇමති වරු හතරක් ජපාන සවාරි ගිය සල්ලි වලින් ලමයින්ට ජාතික කොඩිය මහපු ඇඳුමක දෙන්න බැරි
424,1.42E+18,7/27/2021 21:51,Politics,ගම්පහ ශ්රීලනිප අවුල පාක්ෂිකයන් මතයක රාජ්ය ඇමති මතයක
428,1.42E+18,7/27/2021 20:34,Politics,අපේ ඉඩම් ඇමති රොෂා රණසිංහත් ඉන්න
432,1.42E+18,7/27/2021 18:13,Politics,ජපානයෙන් ඇස්ට්රාසොනිකා එන දවස දෙවියෝ තමයි දන්නේ ඇමති ජයසුමන
434,1.42E+18,7/27/2021 15:33,Other,කම්කරුවන් ඇමති තොණ්ඩමන් අවමගුල කවි ලියපු උන් කාටවත් රටට වැඩක් කරපු මහරාජාගේ කොරෝනා මියගිය අවමගුල වගේ වගක් නැති කමට තමයි නිවහල් මධ්යස්ථ දේශප්රේමීත්වය සබෞද්ධ ජාතිකත්වය ජාත්යාලය කියන්නේ ලිංගෙම්බෝ
436,1.42E+18,7/27/2021 14:15,Other,බස්නාහිර කට එන්නත්කරණය අවසන්
438,1.42E+18,7/27/2021 14:14,Politics,මැදපෙරදිග ආසියානු රටවල රාජ්ය තාන්ත්රික රැසක් මුදල් ඇමති හමුවෙයි
440,1.42E+18,7/27/2021 13:48,Politics,මැදපෙරදිග ආසියානු රටවල රාජ්ය තාන්ත්රිකයෝ මුදල් ඇමති හමුවට
442,1.42E+18,7/27/2021 13:38,Other,ඇමති වගේ එකක් බෑද ගමේ කමට
444,1.42E+18,7/27/2021 12:44,Other,ඉඩම් රාජ්ය ඇමති යන්ටම ඕනා මොකද ඔලිම්පික් තියෙන්නේ ලොකූම ලොකු ඉඩමක ඇත්තද සොත්ති උපාලිගේ පුතෙකුත් ගිහිල්ලා කියන්නේ ජයගම
446,1.42E+18,7/27/2021 12:14,Other,ඉඩම් රාජ්ය ඇමති යන්ටම ඕනා මොකද ඔලිම්පික් තියෙන්නේ ලොකූම ලොකු ඉඩමක ඇත්තද සොත්ති උපා
448,1.42E+18,7/27/2021 11:38,Politics,බැසිල් ඇමතිතුමා ලංකා ඇවිත මුදල් ඇමති කම බාරගත්ත විතරයි මැණික හම්බුවෙනවා
450,1.42E+18,7/27/2021 11:30,Politics,ඉඩම් රාජ්ය අමතා රොෂා රණසිංහ ඔලිම්පික් බලන්ට නාමල් බේබි ගියේ එහි ඉඩම් සම්බන්ද මොකක් හරි ක්රීඩාවක තියේ කෙහෙළියමෙහෙමයි ඔලිම්පික් ලෝකේ ලොකු දෙයක් නේ එක තියෙන්නේ ලොකූම ලොකු ඉඩමකඒක තමයි එක ඉඩම් රාජ්ය ඇමති තුමා වැදගත් ජයගම
452,1.42E+18,7/27/2021 9:22,Politics,ගුරු විදුහල්පති වැටුප් වැඩිකිරීම රජය කටයුතු සකස් කරනවා ඇමති රමේෂ්
454,1.42E+18,7/27/2021 8:50,Politics,සහල කිලෝවක රු කින් අඩු කරන හැටි කෘෂිකර්ම ඇමති කියයි
456,1.42E+18,7/27/2021 6:38,Politics,ඇමෙරිකා ඩොලර බිලියනයක විදේශ ණය ගෙවා දැම්ම ඇමති කෙහෙළිය
458,1.42E+18,7/27/2021 6:20,Politics,අපි ඉල්ලනවා ගුරුවරු මේක ඇත හැරලා දරුවන්ට උගන්වන්න ඇමති රමේෂ් කැබිනට් මාධ්ය හමුවේදී ඉල්ලයි විස්තර දැන ගැනීමට පිවිසෙන්න
460,1.42E+18,7/27/2021 2:49,Other,මුළු රටම විවෘත කිරීම ජනපති ඇමති මණ්ඩල කියූ දේ
462,1.42E+18,7/27/2021 2:46,Other,මොන නැවටද සල්ලි පටවල යැව්වේ අහනවා අපේ වරාය නාවුක ඇමති
464,1.42E+18,7/26/2021 21:44,Other,බැදුම්කර ගෙවනව කියල රටෙ මුදල් රාජ්ය ඇමති කරනව කියන්නෙම ඕගොල්ලො වගේ කට්ටි ඒකට අප්
466,1.42E+18,7/26/2021 17:14,Other,කලින් මුදල් ඇමති කව්ද ළමායි
468,1.42E+18,7/26/2021 15:59,Other,හිටපු ඇමති මංගල සමරවීර මහතාගේ ප්රධානත්වය සැබෑ දේශප්රේමියෝ සංවිධානය එලි දැක්වීමේදී අවස්ථාවේදී ඔහු විසන් ඉදිරිපත් කරන ලද කරුණු මෙසේය සැබෑ දේශප්රේමීන් පවත්වන මුල්ම මාධ්යය සාකච්ඡාවට කාර්යාලයට පැමිණි ඔබ සියලු දෙනාව අපි සාදරයෙන් පිළිගන්න
472,1.42E+18,7/26/2021 14:11,Politics,පාලන මිලට අඩුවෙන ගොවීන් වී අලෙවි කළ යුතු නැහැ කෘෂිකර්ම ඇමති
474,1.42E+18,7/26/2021 13:20,Crime,ඇමති රිෂාඩ් බිරිඳ සැකකරු සිව්දෙනා අගෝස්තු දක්ව
478,1.42E+18,7/26/2021 11:56,Other,විදියට ඇමති මණ්ඩල මන්ත්රී ඇමති වැටුප් වරප්රසාද රාජ්ය සේවය ආරක්ෂක වැය ශීර්ෂ අධ්යාපනය වෙන්කරන ගනන යනාදි සසඳන්න ඇමති තුමා
480,1.42E+18,7/26/2021 10:36,Politics,ජනපති පැවැත්වූ සාකච්ඡාව සාර්ථකයි ඇමති දයාසිරි ජයසේකර
482,1.42E+18,7/26/2021 9:05,Other,ඇමති හිතන් ඉන්නේ ඩොලර කියන්නේ හාල් වාගේ කියල වෙන්න ෂුවර් එකට ආචාර් බන්දුල ගුණවර්ධන ගෙන් ආර්ථික විද්යාව ටියුෂන් ගත්ත අයෙක
484,1.42E+18,7/26/2021 8:45,Politics,ජනපති පැවැති සාකච්ඡාව සාර්ථකයි ඇමති නිමල් සිරිපාල ජනාධිපති ගෝඨාභය රාජපක්ෂ මහතා ශ්රී ලංකා නිදහස් පක්ෂ නියෝජිතයින් අද පෙරවරුවේ පැවැති සාකච්ඡාව සාර්ථක අමාත්ය නිමල් සිරිපාල සිල්වා මහතා පවසයි විස්තර
486,1.42E+18,7/26/2021 8:38,Other,රට කඩාවැටී ආසන්නව තිබියදි ජාතික ඇදුම අදින ඇඟපුරාම දේශප්රේමය ගලායන ඇමති ගොබිලෙක් වු තමන් පදිංචි රජයේනිවස අළුත්වැඩියාවට රුපියල් ලක්ෂ අලිසබ්රි අධිකරණ ඇමති සොහොයුරා අයත් ආයතනයට ගෙවලා පසුගිය රජය සමයේ පාසල් දරුවන්ට ටැබ්දීමෙන් ඔවුන් වඳවෙනබව කීවේද මොහු
488,1.42E+18,7/26/2021 7:51,Other,ගුරුවරුන්ට ඇමති බන්දුල පණිවිඩයක වැටුප් කල හැකි ක්රම කියයි
494,1.42E+18,7/26/2021 3:51,Other,ගුරු උද්ඝෝෂණ ඉක්මන් වැඩියි එන්නත ඇඟ ධාරණය වෙලා නැහැ ඖෂධ රාජ්ය ඇමති
500,1.42E+18,7/25/2021 21:29,Other,අපේ පොලිස් ඇමති පොලිස් මාධ්ය ප්රකාශක කොහෙද දන්නෙ නැහැ
502,1.42E+18,7/25/2021 17:27,Other,එක නේන්නම් ආරක්ෂක ලේකම් කවුද හේමසිරි පොලිස් ඇමති සාගලද අගමැටි රනිල්ද
504,1.42E+18,7/25/2021 13:33,Politics,සියලුදෙනා එන්නත දුන් පසු රට විවෘත කරන වෙළෙඳ ඇමති පවසයි
506,1.42E+18,7/25/2021 12:18,Politics,සියලුදෙනා එන්නත දුන් පසු රට විවෘත කරන වෙළෙඳ ඇමති පවසයි එළඹෙන සැප්තැම්බර් මාසය වනවිට මෙරට අවුරුදු සියලු දෙනා එන්නත ලබාදී අවසන් කරන වෙළෙඳ අමාත්ය බන්දුල විස්තර
508,1.42E+18,7/25/2021 8:09,Politics,හාල් පොල් අඩු කරනවා වගේ ඉන්ධන මිල අඩු කරන්න බෑ මුදල් ඇමති
512,1.42E+18,7/25/2021 7:27,Politics,ගුරු වර්ජන විසඳන්න ඇමති ජීඑල්ගෙන් සඳුදා කැබිනට් පත්රිකාවක්
514,1.42E+18,7/25/2021 7:18,Other,ගිය අයට හරි හමන ඇදුමක්වත් මහලා දීග බැරි හිඟන ඇමති
